t (s),V (mV),ln(U)
184.03,6.80324,1.91739896929423
185,6.76215,1.91134088682582
186.001,6.72018,1.90511493989061
187.002,6.67818,1.8988454953361
188.003,6.63651,1.89258622290134
189.004,6.59487,1.88629207407204
190.005,6.55363,1.88001909460918
191.006,6.51263,1.87374336849254
192.007,6.47122,1.86736465333372
193.008,6.43088,1.86111138736116
194.009,6.39096,1.85488449184712
195.01,6.3508,1.84858078922122
196.011,6.31009,1.84214993952589
197.012,6.2708,1.83590393821224
198.013,6.23096,1.82953041402615
199.014,6.19156,1.82318707433106
200.015,6.15259,1.816873131376
201.016,6.11326,1.81046018245031
202.017,6.07488,1.8041622359451
203.018,6.03632,1.79779455474223
204.019,5.99798,1.79142274587644
205.02,5.95984,1.78504363507932
206.021,5.92166,1.77861681499507
207.022,5.88446,1.77231497779357
208.023,5.84701,1.76593041947085
209.024,5.81027,1.75962704138474
210.025,5.7729,1.75317455391249
211.027,5.73636,1.74682486283417
212.028,5.69979,1.74042933205655
213.029,5.66372,1.73408092014122
214.03,5.62709,1.72759243463637
215.031,5.5912,1.72119393318078
216,5.55567,1.71481902787975
217.001,5.52041,1.70845213289304
218.002,5.48435,1.70189858169125
219.003,5.4491,1.69545045742376
220.004,5.41412,1.68901035570451
221.005,5.37902,1.68250620144742
222.006,5.34443,1.67605489706914
223.007,5.30993,1.66957865249276
224.008,5.27566,1.66310379001888
225.009,5.24174,1.65665350428158
226.01,5.20855,1.6503015060891
227.011,5.17438,1.64371952521074
228.012,5.14085,1.63721843544483
229.013,5.10729,1.63066893085848
230.014,5.07403,1.62413537365468
231.015,5.04113,1.617630263302
232.016,5.00804,1.61104462098635
233.017,4.97457,1.60433893471428
234.018,4.94232,1.59783485658307
235.019,4.90984,1.59124135471743
236.02,4.87774,1.5846819978402
237.021,4.84538,1.5780256736397
238.022,4.81326,1.57137460922345
239.023,4.78231,1.56492369336745
240.024,4.75052,1.55825408573895
241.025,4.71865,1.55152274173766
242.026,4.68712,1.54481832134378
243.027,4.65669,1.5383048953255
244.028,4.6264,1.53177902786187
245.029,4.59596,1.52517765672844
246.03,4.56562,1.51855432081601
247,4.53636,1.51212492835557
248.001,4.50634,1.50548529411243
249.002,4.47647,1.49883478940537
250.003,4.44679,1.49218248756666
251.004,4.4165,1.48534752720305
252.005,4.38688,1.4786182682654
253.006,4.35814,1.47204536083434
254.007,4.32881,1.46529267745276
255.008,4.29845,1.45825449260007
256.009,4.27014,1.4516466135883
257.01,4.24116,1.444836816732
